id,name,count
borges,Jorge Borges,125
edouard_drumont,Édouard Drumont,70
gustave_flaubert,Gustave Flaubert,69
jesus,de Nazaret Jesús,68
leon_bloy,Léon Bloy,64
jean_paul_sartre,Jean-Paul Sartre,63
rabelais,François Rabelais,58
osvaldo_rossler,Osvaldo Rossler,56
ruben_dario,Rubén Darío,55
nestor_perlongher,Néstor Perlongher,51
emile_zola,Émile Zola,49
macedonio_fernandez,Macedonio Fernández,46
david_vinias,David Viñas,43
rodolfo_wilcock,Juan Rodolfo Wilcock,40
georg_trakl,Georg Trakl,38
leopoldo_lugones,Leopoldo Lugones,37
joseph_conrad,Joseph Conrad,36
roberto_arlt,Roberto Arlt,35
james_joyce,James Joyce,34
silvina_ocampo,Silvina Ocampo,32
felisberto_hernandez,Felisberto Hernández,31
luis_gusman,Luis Gusmán,27
carlos_correas,Carlos Correas,25
friedrich_nietzsche,Friedrich Nietzsche,24
kafka,Franz Kafka,23
juan_octavio_gauna,Juan Octavio Gauna,23
jose_marmol,José Mármol,22
roland_barthes,Roland Barthes,21
catherine_yarrow,Catherine Yarrow,20
martinez_estrada,Ezequiel Martínez Estrada,20
