id,name,type,country,region,period,birth_year,in_degree,out_degree
jorge_jinkis,Jorge Jinkis,author,Argentina,Latin America,World Wars Era,1943.0,4,116
samuel_beckett,Samuel Beckett,cited,Ireland,Western Europe,Long 19th Century,1906.0,6,0
leo_strauss,Leo Strauss,cited,Germany,Western Europe,Long 19th Century,1899.0,1,44
ernest_renan,Joseph Renan,cited,France,Western Europe,Revolutionary Era,1823.0,2,0
leon_bloy,Léon Bloy,cited,France,Western Europe,Revolutionary Era,1846.0,2,19
martin_lutero,Martín Lutero,cited,Germany,Western Europe,Renaissance,1483.0,1,0
leopoldo_lugones,Leopoldo Lugones,cited,Argentina,Latin America,Long 19th Century,1874.0,6,0
paul_valery,Ambroise Valéry,cited,France,Western Europe,Long 19th Century,1871.0,8,0
eduardo_gruner,Eduardo Grüner,author,Argentina,Latin America,Contemporary,1946.0,1,241
maurice_blanchot,Maurice Blanchot,cited,France,Western Europe,Long 19th Century,1907.0,3,4
kafka,Franz Kafka,cited,Czech Republic,Eastern Europe,Long 19th Century,1883.0,6,0
james_joyce,James Joyce,cited,Ireland,Western Europe,Long 19th Century,1882.0,7,0
louis_ferdinand_celine,Louis-Ferdinand Céline,cited,France,Western Europe,Long 19th Century,1894.0,4,0
william_faulkner,William Faulkner,cited,United States,North America,Long 19th Century,1897.0,2,0
borges,Jorge Borges,cited,Argentina,Latin America,Long 19th Century,1899.0,16,0
simonides,de Ceos Simónides,cited,Greece,Southern Europe / Classical,Antiquity (Archaic),-556.0,1,0
horacio,Quinto Horacio,cited,Italy,Western Europe,Hellenistic/Roman,-65.0,2,0
friedrich_nietzsche,Friedrich Nietzsche,cited,Germany,Western Europe,Revolutionary Era,1844.0,9,0
ezra_pound,Ezra Pound,cited,United States,North America,Long 19th Century,1885.0,2,0
luis_gusman,Luis Gusmán,author,Argentina,Latin America,World Wars Era,1944.0,5,176
mallarme,Stéphane Mallarmé,cited,France,Western Europe,Revolutionary Era,1842.0,5,0
andre_gide,André Gide,cited,France,Western Europe,Long 19th Century,1869.0,1,0
john_donne,John Donne,cited,United Kingdom,Western Europe,Renaissance,1572.0,2,0
spinoza,Baruch Spinoza,cited,Netherlands,Western Europe,Early Modern,1632.0,5,0
maquiavelo,Niccolò Machiavelli,cited,Italy,Western Europe,Renaissance,1469.0,1,0
tucidides,Tucídides,cited,Greece,Southern Europe / Classical,Classical Antiquity,-460.0,1,0
aristoteles,Aristóteles,cited,Greece,Southern Europe / Classical,Classical Antiquity,-384.0,9,0
platon,Platón,cited,Greece,Southern Europe / Classical,Classical Antiquity,-428.0,8,0
thomas_hobbes,Thomas Hobbes,cited,United Kingdom,Western Europe,Renaissance,1588.0,1,0
socrates,Sócrates,cited,Greece,Southern Europe / Classical,Classical Antiquity,-470.0,2,0
hilail_gildin,Hilail Gildin,cited,United States,North America,World Wars Era,1929.0,1,0
william_lecky,William Lecky,cited,Ireland,Western Europe,Revolutionary Era,1838.0,1,0
parmenides,de Elea Parménides,cited,Greece,Southern Europe / Classical,Antiquity (Archaic),-515.0,2,0
