author_id,author_name,total_citations,unique_citations,top_region,top_period,pct_western_europe,pct_latin_america
ramon_alcalde,Ramón Alcalde,117,72,Latin America,World Wars Era,26.5,63.2
eduardo_gruner,Eduardo Grüner,277,118,Western Europe,Long 19th Century,63.2,18.8
luis_gusman,Luis Gusmán,137,78,Latin America,Long 19th Century,38.0,50.4
jorge_jinkis,Jorge Jinkis,53,45,Latin America,Long 19th Century,26.4,62.3
osvaldo_lamborghini,Osvaldo Lamborghini,1,1,Other/Unknown,Unknown,0.0,0.0
juan_bautista_ritvo,Juan Bautista Ritvo,52,33,Western Europe,Long 19th Century,51.9,28.8
maurice_blanchot,Maurice Blanchot,6,4,Western Europe,Long 19th Century,100.0,0.0
santiago_bullrich,Santiago Bullrich,18,6,Western Europe,Revolutionary Era,88.9,0.0
luis_chitarroni,Luis Chitarroni,32,13,Latin America,Long 19th Century,34.4,53.1
enrique_pezzoni,Enrique Pezzoni,16,7,Latin America,Long 19th Century,31.2,68.8
raul_zoppi,Raul Zoppi,44,3,Latin America,Long 19th Century,0.0,100.0
jorge_monteleone,Jorge Monteleone,89,23,Latin America,Long 19th Century,22.5,56.2
jorge_panesi,Jorge Panesi,17,6,Latin America,World Wars Era,0.0,82.4
